,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
13,MA010120220805431585,봄동떡방,,I2,음식,I210,기타 간이,I21002,떡/한과,C10711,떡류 제조업,26,부산광역시,26170,동구,26170570,수정2동,2617010200,수정동,2617010200102800001,1,대지,280,1.0,부산광역시 동구 수정동 280-1,261704181436,부산광역시 동구 중앙대로361번길,40,,2617010200102800001002191,,부산광역시 동구 중앙대로361번길 40,601812,48781,,1,,129.046162070694,35.1291810952931
26,MA010120220805433921,새마을상회,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26170,동구,26170510,초량1동,2617010100,초량동,2617010100109940262,1,대지,994,262.0,부산광역시 동구 초량동 994-262,261704006006,부산광역시 동구 영초길,179,1.0,2617010100109940262005039,,부산광역시 동구 영초길 179-1,601830,48808,,,,129.035602471422,35.1166882467397
37,MA010120220805433370,선진축산정육시장통,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,26,부산광역시,26380,사하구,26380550,당리동,2638010200,당리동,2638010200103170017,1,대지,317,17.0,부산광역시 사하구 당리동 317-17,263803134017,부산광역시 사하구 승학로,64,,2638010200103170017028799,,부산광역시 사하구 승학로 64,604828,49328,,,,128.9751572908,35.1048493239028
71,MA010120220805436912,쵸리네,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",26,부산광역시,26500,수영구,26500800,민락동,2650010300,민락동,2650010300101130051,1,대지,113,51.0,부산광역시 수영구 민락동 113-51,265004214077,부산광역시 수영구 광안해변로312번길,60,,2650010300101130051000001,민락어민활어직판장,부산광역시 수영구 광안해변로312번길 60,613827,48281,,,,129.127886619068,35.1542367953902
113,MA010120220805441355,픽미픽미아이스,,I2,음식,I201,한식,I20101,백반/한정식,G47216,"빵류, 과자류 및 당류 소매업",26,부산광역시,26530,사상구,26530660,주례2동,2653010600,주례동,2653010600100920078,1,대지,92,78.0,부산광역시 사상구 주례동 92-78,265304217022,부산광역시 사상구 가야대로330번길,90,,2653010600100920078032177,이모네집,부산광역시 사상구 가야대로330번길 90,617012,47008,,1,,129.009205740299,35.1467562737417
145,MA010120220805444678,본힐링하우스,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,26,부산광역시,26500,수영구,26500800,민락동,2650010300,민락동,2650010300101760027,1,대지,176,27.0,부산광역시 수영구 민락동 176-27,265004214069,부산광역시 수영구 광안해변로277번길,11,,2650010300101760027016100,,부산광역시 수영구 광안해변로277번길 11,613828,48286,,1,,129.124065042122,35.1564716932005
169,MA010120220805447757,애가타지,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47216,"빵류, 과자류 및 당류 소매업",26,부산광역시,26200,영도구,26200540,영선1동,2620010900,영선동2가,2620010900100580003,1,대지,58,3.0,부산광역시 영도구 영선동2가 58-3,262002128001,부산광역시 영도구 영선대로,79,,2620010900100580003000001,,부산광역시 영도구 영선대로 79,606042,49056,,,,129.041941209199,35.088077511778
184,MA010120220805447211,메가탑농수산,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",26,부산광역시,26440,강서구,26440535,명지1동,2644010400,명지동,2644010400135980005,1,대지,3598,5.0,부산광역시 강서구 명지동 3598-5,264403350851,부산광역시 강서구 명지국제1로,56,3.0,2644010400135980005000001,,부산광역시 강서구 명지국제1로 56-3,618200,46726,,,,128.906685582678,35.0935812211956
243,MA010120220805454413,더마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26260,동래구,26260570,온천3동,2626010800,온천동,2626010800112920000,1,대지,1292,,부산광역시 동래구 온천동 1292,262604190338,부산광역시 동래구 아시아드대로255번길,19,,2626010800112920000011343,,부산광역시 동래구 아시아드대로255번길 19,607839,47846,,,,129.067758758572,35.206728617326
266,MA010120220805455052,이롬황성주생식국제신도시1지점,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,26,부산광역시,26440,강서구,26440535,명지1동,2644010400,명지동,2644010400133580005,1,대지,3358,5.0,부산광역시 강서구 명지동 3358-5,264403350868,부산광역시 강서구 명지국제8로,265,,2644010400133580005000001,SM빌딩,부산광역시 강서구 명지국제8로 265,618200,46773,,7,,128.921839838523,35.0982174084622
271,MA010120220805455432,띵땅상사,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47219,기타 식료품 소매업,26,부산광역시,26290,남구,26290530,대연3동,2629010600,대연동,2629010600105100010,1,대지,510,10.0,부산광역시 남구 대연동 510-10,262904193208,부산광역시 남구 용소로40번길,22,1.0,2629010600105100010003357,,부산광역시 남구 용소로40번길 22-1,608810,48498,,1,,129.099813556224,35.1339702310212
280,MA010120220805458403,토끼와거북이,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47218,조리 반찬류 소매업,26,부산광역시,26380,사하구,26380562,하단2동,2638010300,하단동,2638010300104870006,1,대지,487,6.0,부산광역시 사하구 하단동 487-6,263804202156,부산광역시 사하구 낙동대로535번길,28,,2638010300104870006023644,에덴종합시장,부산광역시 사하구 낙동대로535번길 28,604851,49307,,1,,128.962994308505,35.1114997870911
296,MA010120220805457168,태양수산,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",26,부산광역시,26500,수영구,26500740,망미1동,2650010100,망미동,2650010100104310014,1,대지,431,14.0,부산광역시 수영구 망미동 431-14,265004214014,부산광역시 수영구 과정로55번길,7,,2650010100104310014009971,,부산광역시 수영구 과정로55번길 7,613822,48210,,,,129.106869932336,35.1761810757676
306,MA010120220805459996,진주식품,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47218,조리 반찬류 소매업,26,부산광역시,26500,수영구,26500740,망미1동,2650010100,망미동,2650010100104320004,1,대지,432,4.0,부산광역시 수영구 망미동 432-4,265004214014,부산광역시 수영구 과정로55번길,8,,2650010100104320004015557,,부산광역시 수영구 과정로55번길 8,613822,48204,,1,,129.106850177611,35.176343505547
312,MA010120220805460059,남북유통,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26230,부산진구,26230670,당감1동,2623010900,당감동,2623010900102520117,1,대지,252,117.0,부산광역시 부산진구 당감동 252-117,262304187130,부산광역시 부산진구 당감로10번길,7,,2623010900102520117045212,,부산광역시 부산진구 당감로10번길 7,614817,47189,,,,129.040203603108,35.1627643062008
313,MA010120220805459249,가나유통,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47219,기타 식료품 소매업,26,부산광역시,26500,수영구,26500750,망미2동,2650010100,망미동,2650010100104110001,1,대지,411,1.0,부산광역시 수영구 망미동 411-1,265004214178,부산광역시 수영구 망미번영로55번길,112,,2650010100104110001012777,현대망미아파트,부산광역시 수영구 망미번영로55번길 112,613821,48218,,1,,129.108297815346,35.1770423619607
316,MA010120220805458656,종근당건강헬스벨스토리부산남항점,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,26,부산광역시,26200,영도구,26200530,남항동,2620010600,남항동2가,2620010600102470017,1,대지,247,17.0,부산광역시 영도구 남항동2가 247-17,262003128002,부산광역시 영도구 남항로,22,1.0,2620010600102470017009682,,부산광역시 영도구 남항로 22-1,606802,49055,,,,129.038940038261,35.0892300181415
318,MA010120220805458593,청명상회,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26530,사상구,26530645,감전동,2653010500,감전동,2653010500101510019,1,대지,151,19.0,부산광역시 사상구 감전동 151-19,265304217316,부산광역시 사상구 새벽시장로56번길,37,,2653010500101510007009876,,부산광역시 사상구 새벽시장로56번길 37,617803,46989,,1,,128.979403629514,35.1535359800463
320,MA010120220805458860,봉아이스크림할인점좌동뜨란채점,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47216,"빵류, 과자류 및 당류 소매업",26,부산광역시,26350,해운대구,26350553,좌3동,2635010700,좌동,2635010700112780001,1,대지,1278,1.0,부산광역시 해운대구 좌동 1278-1,263504199026,부산광역시 해운대구 대천로67번길,12,,2635010700112780001011037,,부산광역시 해운대구 대천로67번길 12,612852,48081,,,,129.169034758418,35.1735509118265
384,MA010120220805467071,당리정육점,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,26,부산광역시,26380,사하구,26380550,당리동,2638010200,당리동,2638010200101330001,1,대지,133,1.0,부산광역시 사하구 당리동 133-1,263803134025,부산광역시 사하구 제석로,62,,2638010200101330001008411,,부산광역시 사하구 제석로 62,604828,49323,,1,,128.975005976491,35.1059592725762
437,MA010120220805474253,메종송송,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47219,기타 식료품 소매업,26,부산광역시,26470,연제구,26470620,거제2동,2647010100,거제동,2647010100111800017,1,대지,1180,17.0,부산광역시 연제구 거제동 1180-17,264704211246,부산광역시 연제구 아시아드대로22번길,13,,2647010100111800017023985,,부산광역시 연제구 아시아드대로22번길 13,611808,47526,,1,,129.070131081425,35.1874811214437
441,MA010120220805473593,와마트덕포점,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26530,사상구,26530610,덕포2동,2653010300,덕포동,2653010300104030005,1,대지,403,5.0,부산광역시 사상구 덕포동 403-5,265303132023,부산광역시 사상구 사상로,331,,2653010300104030006000001,백송,부산광역시 사상구 사상로 331,617814,46946,,,,128.983803033055,35.1743586999452
449,MA010120220805473404,와미부,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26350,해운대구,26350530,중1동,2635010600,중동,2635010600109570002,1,대지,957,2.0,부산광역시 해운대구 중동 957-2,263504199020,부산광역시 해운대구 달맞이길62번길,38,,2635010600109570002000001,삼환미포씨랜드,부산광역시 해운대구 달맞이길62번길 38,612846,48098,,3,,129.171212412397,35.1585219079261
452,MA010120220805472984,아리랑,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26320,북구,26320510,구포1동,2632010500,구포동,2632010500105890033,1,대지,589,33.0,부산광역시 북구 구포동 589-33,263204196028,부산광역시 북구 구포시장3길,5,,2632010500105890033001798,,부산광역시 북구 구포시장3길 5,616801,46581,,,,129.003596014843,35.2082419304508
463,MA010120220805475017,오레시피사상점,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47218,조리 반찬류 소매업,26,부산광역시,26530,사상구,26530620,괘법동,2653010400,괘법동,2653010400102710020,1,대지,271,20.0,부산광역시 사상구 괘법동 271-20,265303132023,부산광역시 사상구 사상로,232,5.0,2653010400102710020018027,,부산광역시 사상구 사상로 232-5,617806,46964,,1,,128.983359757802,35.1658080353611
525,MA010120220805482227,금정담뱃집,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26410,금정구,26410700,금성동,2641011300,금성동,2641011300108900000,1,대지,890,,부산광역시 금정구 금성동 890,264104205016,부산광역시 금정구 공해1길,2,,2641011300108900000008584,사계절집,부산광역시 금정구 공해1길 2,609420,46238,,,,129.05623720314,35.2439486146311
544,MA010120220805484037,아삭김치,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",26,부산광역시,26500,수영구,26500740,망미1동,2650010100,망미동,2650010100104420034,1,대지,442,34.0,부산광역시 수영구 망미동 442-34,265004214153,부산광역시 수영구 망미배산로10번길,45,,2650010100104420034007280,,부산광역시 수영구 망미배산로10번길 45,613823,48210,,,,129.106691614938,35.1759844004967
597,MA010120220805487429,김천상회,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",26,부산광역시,26260,동래구,26260520,복산동,2626010500,복천동,2626010500102290028,1,대지,229,28.0,부산광역시 동래구 복천동 229-28,262604190097,부산광역시 동래구 동래시장길,14,,2626010500102290029016298,동래시장,부산광역시 동래구 동래시장길 14,607020,47810,,1,,129.085961867513,35.203826518793
599,MA010120220805487244,하신수산,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",26,부산광역시,26110,중구,26110580,남포동,2611013900,남포동4가,2611013900100370001,1,대지,37,1.0,부산광역시 중구 남포동4가 37-1,261103125013,부산광역시 중구 자갈치해안로,52,,2611013700100370001004178,자갈치시장,부산광역시 중구 자갈치해안로 52,600044,48983,,1,,129.030600002535,35.0966476355156
659,MA010120220805491353,심봉사눈뜬오뎅,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47219,기타 식료품 소매업,26,부산광역시,26320,북구,26320510,구포1동,2632010500,구포동,2632010500105890001,1,대지,589,1.0,부산광역시 북구 구포동 589-1,263204196034,부산광역시 북구 구포시장길,21,,2632010500105890001016407,,부산광역시 북구 구포시장길 21,616801,46581,,1,,129.003433620083,35.2084325683472
692,MA010120220805496351,금양인터내셔날롯데,,G2,소매,G206,음료 소매,G20602,주류 소매업,G47221,음료 소매업,26,부산광역시,26230,부산진구,26230520,부전2동,2623010300,부전동,2623010300105030015,1,대지,503,15.0,부산광역시 부산진구 부전동 503-15,262302006015,부산광역시 부산진구 가야대로,772,,2623010300105030015004104,롯데백화점부산본점,부산광역시 부산진구 가야대로 772,614732,47285,,,,129.056437700996,35.1568098468641
727,MA010120220805500090,크림현대가락타운점,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26380,사하구,26380562,하단2동,2638010300,하단동,2638010300108850007,1,대지,885,7.0,부산광역시 사하구 하단동 885-7,263803134034,부산광역시 사하구 하신번영로,314,,2638010300108850007013303,,부산광역시 사하구 하신번영로 314,604853,49306,,1,,128.959103648267,35.1089976732861
735,MA010120220805499635,서원유통,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26530,사상구,26530620,괘법동,2653010400,괘법동,2653010400102670005,1,대지,267,5.0,부산광역시 사상구 괘법동 267-5,265304217215,부산광역시 사상구 사상로250번길,36,,2653010400102670005015137,트라이사상직매장,부산광역시 사상구 사상로250번길 36,617806,46965,,,,128.984415069304,35.1668450862757
749,MA010120220805501417,노란호랭이,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",26,부산광역시,26230,부산진구,26230780,범천2동,2623010400,범천동,2623010400116390060,1,대지,1639,60.0,부산광역시 부산진구 범천동 1639-60,262303127030,부산광역시 부산진구 안창로,4,,2623010400116390060049285,,부산광역시 부산진구 안창로 4,614834,47376,,,,129.047939925461,35.1446246837724
777,MA010120220805503061,낙민동아이스크림할인점,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47216,"빵류, 과자류 및 당류 소매업",26,부산광역시,26260,동래구,26260510,수민동,2626010400,낙민동,2626010400100840008,1,대지,84,8.0,부산광역시 동래구 낙민동 84-8,262603130015,부산광역시 동래구 안남로,23,,2626010400100840008017390,보림프라자,부산광역시 동래구 안남로 23,607801,47892,,,,129.094844082576,35.1946605937635
812,MA010120220805508812,도레미마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26320,북구,26320572,만덕2동,2632010300,만덕동,2632010300108930007,1,대지,893,7.0,부산광역시 북구 만덕동 893-7,263204196142,부산광역시 북구 덕천로370번길,15,,2632010300108930007016409,,부산광역시 북구 덕천로370번길 15,616831,46609,,,,129.043943516853,35.2088832876926
816,MA010120220805507562,어부상회,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,26,부산광역시,26230,부산진구,26230670,당감1동,2623010900,당감동,2623010900102620026,1,대지,262,26.0,부산광역시 부산진구 당감동 262-26,262304187131,부산광역시 부산진구 당감로16번길,27,,2623010900102620026053311,,부산광역시 부산진구 당감로16번길 27,614817,47181,,,,129.041156784036,35.1634862466316
818,MA010120220805507439,나비수산,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,26,부산광역시,26710,기장군,26710250,기장읍,2671025028,기장읍,2671025028104020001,1,대지,402,1.0,부산광역시 기장군 기장읍 대변리 402-1,267103140057,부산광역시 기장군 기장읍 기장해안로,597,,2671025028104440051015667,대운낙지,부산광역시 기장군 기장읍 기장해안로 597,619904,46079,,,,129.229681839015,35.2249413152276
851,MA010120220805512787,통영물산,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,26,부산광역시,26440,강서구,26440510,대저1동,2644010100,대저1동,2644010100103850006,1,대지,385,6.0,부산광역시 강서구 대저1동 385-6,264404208067,부산광역시 강서구 공항로1309번길,80,12.0,2644010100103850006000001,,부산광역시 강서구 공항로1309번길 80-12,618803,46702,,,,128.984701874875,35.2161039616829
870,MA010120220805514439,초원식육점,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,26,부산광역시,26260,동래구,26260600,사직3동,2626010900,사직동,2626010900101390036,1,대지,139,36.0,부산광역시 동래구 사직동 139-36,262603130017,부산광역시 동래구 여고북로,144,,2626010900101390036002041,,부산광역시 동래구 여고북로 144,607813,47830,,,,129.072962475227,35.2015717675835
875,MA010120220805514669,장산떡집,,I2,음식,I210,기타 간이,I21002,떡/한과,C10711,떡류 제조업,26,부산광역시,26350,해운대구,26350570,반여1동,2635010300,반여동,2635010300108770003,1,대지,877,3.0,부산광역시 해운대구 반여동 877-3,263504199060,부산광역시 해운대구 반여로185번길,73,5.0,2635010300108770003009202,,부산광역시 해운대구 반여로185번길 73-5,612809,48034,,1,,129.124449514891,35.2083066069013
910,MA010120220805515414,김여사반찬에반하다,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47218,조리 반찬류 소매업,26,부산광역시,26350,해운대구,26350552,좌2동,2635010700,좌동,2635010700114750002,1,대지,1475,2.0,부산광역시 해운대구 좌동 1475-2,263503133029,부산광역시 해운대구 양운로,53,,2635010700114750002000001,투모로우오피스텔,부산광역시 해운대구 양운로 53,612842,48104,,,,129.176440471374,35.167917707043
915,MA010120220805518459,대청미니,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26110,중구,26110530,대청동,2611011900,대청동4가,2611011900100720165,1,대지,72,165.0,부산광역시 중구 대청동4가 72-165,261104175061,부산광역시 중구 대청북길17번길,22,,2611011900100720165002585,,부산광역시 중구 대청북길17번길 22,600800,48970,,2,,129.029798735592,35.1061912904457
916,MA010120220805518721,세븐일레븐부산동구동양점,,G2,소매,G204,종합 소매,G20405,편의점,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26170,동구,26170650,범일1동,2617010400,범일동,2617010400113360022,1,대지,1336,22.0,부산광역시 동구 범일동 1336-22,261703127039,부산광역시 동구 증산로,150,,2617010400113360022019619,,부산광역시 동구 증산로 150,601804,48721,,,,129.053258040909,35.1391792176836
929,MA010120220805517453,화명장터,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",26,부산광역시,26320,북구,26320543,화명3동,2632010200,화명동,2632010200122770005,1,대지,2277,5.0,부산광역시 북구 화명동 2277-5,263204196051,부산광역시 북구 금곡대로285번길,22,,2632010200122770005008595,월드타워,부산광역시 북구 금곡대로285번길 22,616852,46526,,1,,129.012341929739,35.2341921805954
941,MA010120220805519505,튀항,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",26,부산광역시,26530,사상구,26530610,덕포2동,2653010300,덕포동,2653010300104130019,1,대지,413,19.0,부산광역시 사상구 덕포동 413-19,265304217227,부산광역시 사상구 사상로310번길,45,,2653010300104130019023669,마산아구찜,부산광역시 사상구 사상로310번길 45,617815,46949,,,,128.986017215599,35.1722584694324
961,MA010120220805520889,픽미픽미,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47216,"빵류, 과자류 및 당류 소매업",26,부산광역시,26380,사하구,26380510,괴정1동,2638010100,괴정동,2638010100104860001,1,대지,486,1.0,부산광역시 사하구 괴정동 486-1,263803134004,부산광역시 사하구 괴정로,272,,2638010100104860001015455,,부산광역시 사하구 괴정로 272,604812,49388,,1,,128.990996651675,35.0967254040856
993,MA010120220805523143,땅스부대찌개,,I2,음식,I201,한식,I20102,국/탕/찌개류,G47219,기타 식료품 소매업,26,부산광역시,26320,북구,26320541,화명1동,2632010200,화명동,2632010200111300009,1,대지,1130,9.0,부산광역시 북구 화명동 1130-9,263202132001,부산광역시 북구 금곡대로,240,,2632010200111300009000001,롯데캐슬멤버스,부산광역시 북구 금곡대로 240,616721,46537,,1,,129.013452536459,35.2298562345305
999,MA010120220805523292,유림떡방앗간,,I2,음식,I210,기타 간이,I21002,떡/한과,C10711,떡류 제조업,26,부산광역시,26320,북구,26320520,구포2동,2632010500,구포동,2632010500107860001,1,대지,786,1.0,부산광역시 북구 구포동 786-1,263204196240,부산광역시 북구 백양대로1124번길,111,,2632010500107860001004546,,부산광역시 북구 백양대로1124번길 111,616804,46632,,1,,129.00452760766,35.2000585908619
1039,MA010120220805527333,상주농산,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",26,부산광역시,26230,부산진구,26230560,양정1동,2623010100,양정동,2623010100104580020,1,대지,458,20.0,부산광역시 부산진구 양정동 458-20,262302348120,부산광역시 부산진구 거제대로,37,,2623010100103780057003187,현대아파트,부산광역시 부산진구 거제대로 37,614791,47208,,,,129.066541546256,35.1707379472895
1050,MA010120220805529549,동양마트두구점,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26710,기장군,26710330,철마면,2671033024,철마면,2671033024105540002,1,대지,554,2.0,부산광역시 기장군 철마면 송정리 554-2,267103000043,부산광역시 기장군 철마면 여락송정로,331,,2671033024105540002000001,,부산광역시 기장군 철마면 여락송정로 331,619873,46002,,,,129.112799969821,35.3049963035802
1110,MA010120220805533455,파비스애니원기장점,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,26,부산광역시,26710,기장군,26710250,기장읍,2671025021,기장읍,2671025021101250008,1,대지,125,8.0,부산광역시 기장군 기장읍 동부리 125-8,267104220297,부산광역시 기장군 기장읍 차성동로87번길,28,,2671025021101250008000420,아끼네떡방앗간,부산광역시 기장군 기장읍 차성동로87번길 28,619905,46061,,1,,129.215063823321,35.2457391938991
1137,MA010120220805538280,필휴계실,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,26,부산광역시,26530,사상구,26530645,감전동,2653010500,감전동,2653010500101380002,1,대지,138,2.0,부산광역시 사상구 감전동 138-2,265302006017,부산광역시 사상구 학감대로,248,,2653010500101380002008266,신사상자동차매매단지,부산광역시 사상구 학감대로 248,617801,46985,,,,128.99177887216,35.1531288375847
1146,MA010120220805537182,원조생오리,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,26,부산광역시,26230,부산진구,26230510,부전1동,2623010300,부전동,2623010300103410071,1,대지,341,71.0,부산광역시 부산진구 부전동 341-71,262304187695,부산광역시 부산진구 중앙대로775번길,15,,2623010300103410005021140,,부산광역시 부산진구 중앙대로775번길 15,614843,47251,,,,129.061487893163,35.1619847636859
1199,MA010120220805544225,비에이치아이시,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47219,기타 식료품 소매업,26,부산광역시,26200,영도구,26200530,남항동,2620010600,남항동2가,2620010600101970000,1,대지,197,,부산광역시 영도구 남항동2가 197,262004184044,부산광역시 영도구 남항서로82번길,73,,2620010600101970000012262,,부산광역시 영도구 남항서로82번길 73,606802,49047,,,,129.039400550648,35.0866300271528
1201,MA010120220805544182,농부와어부식품관,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26470,연제구,26470660,연산2동,2647010200,연산동,2647010200107750022,1,대지,775,22.0,부산광역시 연제구 연산동 775-22,264703129045,부산광역시 연제구 월드컵대로,25,,2647010200107750022004213,,부산광역시 연제구 월드컵대로 25,611827,47603,,1,,129.085459208631,35.1767714508714
1224,MA010120220805546349,우제아이엠,,G2,소매,G205,식료품 소매,G20508,건강보조식품 소매업,G47217,건강 보조식품 소매업,26,부산광역시,26230,부산진구,26230520,부전2동,2623010300,부전동,2623010300102570003,1,대지,257,3.0,부산광역시 부산진구 부전동 257-3,262303129025,부산광역시 부산진구 서면로,74,,2623010300102570003041050,아이온시티빌딩,부산광역시 부산진구 서면로 74,614776,47286,,,,129.058166292831,35.1572274300434
1225,MA010120220805547409,하얀고래수산,,G2,소매,G205,식료품 소매,G20504,건어물/젓갈 소매업,G47213,건어물 및 젓갈류 소매업,26,부산광역시,26710,기장군,26710253,장안읍,2671025332,장안읍,2671025332100040005,1,대지,4,5.0,부산광역시 기장군 장안읍 임랑리 4-5,267103173096,부산광역시 기장군 장안읍 해맞이로,229,,2671025332200040005005904,,부산광역시 기장군 장안읍 해맞이로 229,619951,46038,,,,129.26434162056,35.3199294465808
1232,MA010120220805545023,롯데후레쉬마켓,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26290,남구,26290560,대연6동,2629010600,대연동,2629010600117860019,1,대지,1786,19.0,부산광역시 남구 대연동 1786-19,262903129046,부산광역시 남구 진남로,135,,2629010600117860019007379,,부산광역시 남구 진남로 135,608819,48448,,1,,129.080137518492,35.1387893741272
1243,MA010120220805547489,거제수산,,G2,소매,G205,식료품 소매,G20505,수산물 소매업,G47214,"신선, 냉동 및 기타 수산물 소매업",26,부산광역시,26530,사상구,26530591,모라1동,2653010200,모라동,2653010200113490005,1,대지,1349,5.0,부산광역시 사상구 모라동 1349-5,265302006008,부산광역시 사상구 백양대로,935,,2653010200113490005005569,,부산광역시 사상구 백양대로 935,617818,46929,,,,128.991313493792,35.189846535475
1245,MA010120220805547322,경남야채,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",26,부산광역시,26500,수영구,26500660,남천1동,2650010500,남천동,2650010500105560000,1,대지,556,,부산광역시 수영구 남천동 556,265004214067,부산광역시 수영구 광안해변로15번길,77,,2650010500105560000012884,남천해변시장,부산광역시 수영구 광안해변로15번길 77,613819,48313,,,,129.109068212561,35.1391770499134
1262,MA010120220805624908,대림상회,,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,"채소, 과실 및 뿌리작물 소매업",26,부산광역시,26230,부산진구,26230510,부전1동,2623010300,부전동,2623010300102670021,1,대지,267,21.0,부산광역시 부산진구 부전동 267-21,262302000010,부산광역시 부산진구 중앙대로,765,,2623010300102670030032083,,부산광역시 부산진구 중앙대로 765,614843,47251,,,,129.060989888398,35.1608263310886
